GNomExSampleName	SampleName	QubitConc(ng/uL)	RIN	VolofSample(uL)	VolofWater(uL)	TotalRNA	Subtype	HKGeomean	QC
S793Rx01	HCI-003.E2,PDxO	32	9.7	7.8	-1.5	250.0	Her2Enriched	15578	PASS
S793Rx02	HCI-005.E2,PDxO	29.3	8.7	8.5	-2.2	250.0	BasalLike	6078	PASS
S793Rx03	HCI-007.E2,PDxO	33.3	9.4	7.5	-1.2	250.0	Her2Enriched	16584	PASS
S793Rx04	HCI-011.E2,PDxO	33.17	5.4	7.5	-1.2	250.0	Her2Enriched	17814	PASS
S793Rx05	HCI-017.E2,PDxO	32.3	9.7	7.7	-1.4	250.0	Her2Enriched	20904	PASS
S793Rx06	HCI-043,PDxO	32.78	9.4	7.6	-1.3	250.0	BasalLike	23882	PASS
S793Rx07	Tow-14,PDX	28.3	6.3	8.8	-2.5	250.0	BasalLike	15980	PASS
S793Rx08	HCI-041,PDX	30.3	9.7	8.3	-2.0	250.0	BasalLike	18940	PASS
S793Rx09	HCI-043,PDX	31.2	9.6	8.0	-1.7	250.0	BasalLike	18919	PASS
S793Rx10	HCI-003,PDxoX	32.1	8.9	7.8	-1.5	250.0	Her2Enriched	16661	PASS
S793Rx11	HCI-011,PDxoX	28.5	7.9	8.8	-2.5	250.0	LuminalB	8588	PASS
S793Rx12	HCI-017,PDxoX	27.4	8.9	9.1	-2.8	250.0	Her2Enriched	11040	PASS
S733Rx01	HCI-001,PDX	79.1	7.6	3.2	3.1	250.0	BasalLike	13999	PASS
S733Rx02	HCI-002,PDX	130	8.7	1.9	4.4	250.0	BasalLike	9707	PASS
S733Rx03	HCI-003,PDX	91.8	8.6	2.7	3.6	250.0	Her2Enriched	13382	PASS
S733Rx04	HCI-004,PDX	64.5	9.0	3.9	2.4	250.0	BasalLike	13746	PASS
S733Rx05	HCI-005,PDX	75.5	9.1	3.3	3.0	250.0	LuminalB	13909	PASS
S733Rx06	HCI-006,PDX	90.5	9.0	2.8	3.5	250.0	LuminalB	12144	PASS
S733Rx07	HCI-007,PDX	53.1	9.1	4.7	1.6	250.0	LuminalB	15375	PASS
S733Rx08	HCI-008,PDX	72.8	8.9	3.4	2.9	250.0	BasalLike	12648	PASS
